Player ID,Player ID,Season,Average Points,Average Assists,Average Blocks,Average Defensive Rebounds,Average Offensive Rebounds,Average 3PT Attempts,Average 3PT Made,Average 2PT Attempts,Average 2PT Made,Average Free Throw Attempts,Average Free Throws Made,Average Steals per Game,Average Mins per Game,Average Turn Overs per Game
180,922,1995,22.09,4.44,0.48,5.83,8.15,0.16,0.05,9.05,9.05,5.26,3.94,0.83,40:40,3.74
181,899,1995,11.65,0.67,0.86,3.65,6.25,0.05,0.02,4.35,4.35,4.54,2.93,0.53,25:09,1.91
182,884,1995,8.44,1.09,0.32,2.04,3.19,1.51,0.48,3.34,3.34,1.71,1.29,0.79,23:35,1.4
183,892,1995,14.36,1.63,1.32,4.74,6.99,0.22,0.05,5.47,5.47,4.59,3.36,0.51,30:44,2.37
184,887,1995,7.25,0.7,0.48,3.82,5.77,0.0,0.0,3.21,3.21,2.18,0.82,0.31,23:28,1.36
185,881,1995,12.76,3.51,0.64,2.69,3.33,3.24,1.19,4.81,4.81,2.63,1.94,1.84,31:12,1.41
186,957,1995,15.26,0.96,1.63,5.09,8.74,0.34,0.12,5.72,5.72,4.78,3.7,1.04,34:24,1.68
187,965,1995,13.42,0.99,1.5,4.51,7.53,0.05,0.0,5.62,5.62,3.2,2.18,0.71,30:00,2.03
188,946,1995,19.22,3.86,1.1,2.43,3.68,4.06,1.29,6.28,6.28,7.19,5.38,1.06,37:30,3.5
189,948,1995,10.08,1.31,0.83,3.23,4.66,1.26,0.42,4.23,4.23,1.85,1.2,0.65,27:30,1.58
190,971,1995,10.44,1.81,1.64,4.08,6.26,0.35,0.1,4.51,4.51,1.86,1.31,1.08,28:39,1.38
191,952,1995,13.26,1.42,0.71,5.09,7.4,0.04,0.0,5.21,5.21,3.88,2.84,0.56,31:56,2.04
192,960,1995,19.01,9.33,0.27,3.17,4.01,4.81,1.9,6.87,6.87,4.23,3.37,1.4,40:55,3.81
193,974,1995,4.89,1.1,0.06,0.74,1.19,1.97,0.68,1.82,1.82,0.68,0.56,0.52,13:37,0.68
194,962,1995,6.23,0.98,0.17,,1.86,0.88,0.16,2.44,2.44,1.69,1.2,0.69,19:34,0.97
195,978,1995,9.0,0.62,0.49,4.28,5.93,0.03,0.0,3.7,3.7,2.41,1.59,0.64,22:21,1.32
196,2895,1996,18.11,3.39,1.32,7.3,10.05,2.09,0.56,6.39,6.39,6.4,4.77,0.88,36:49,3.23
197,2968,1996,21.77,7.11,0.16,3.32,4.61,4.63,1.45,8.61,8.61,4.33,3.1,2.4,39:12,2.62
